id,type,label
Xumin Liu,faculty,Xumin Liu
Alexander Ororbia,faculty,Alexander Ororbia
Leon Reznik,faculty,Leon Reznik
Yin Pan,faculty,Yin Pan
Justus Robertson,faculty,Justus Robertson
Zhiqiang Tao,faculty,Zhiqiang Tao
Hakyung Sung,faculty,Hakyung Sung
Lu Sun,faculty,Lu Sun
Stefan Schulze,faculty,Stefan Schulze
John Thomas,faculty,John Thomas
Bo Yuan,faculty,Bo Yuan
Andreas Savakis,faculty,Andreas Savakis
Weijie Zhao,faculty,Weijie Zhao
Yiqin Zhao,faculty,Yiqin Zhao
Dan Bogaard,faculty,Dan Bogaard
Bruce Hartpence,faculty,Bruce Hartpence
Zachary Butler,faculty,Zachary Butler
Lawrence Hill,faculty,Lawrence Hill
Rajendra Raj,faculty,Rajendra Raj
Michael Mior,faculty,Michael Mior
Ji Hwan Park,faculty,Ji Hwan Park
M. Mustafa Rafique,faculty,M. Mustafa Rafique
Elouise Oyzon,faculty,Elouise Oyzon
Christopher Egert,faculty,Christopher Egert
Thomas Kinsman,faculty,Thomas Kinsman
Fawad Ahmad,faculty,Fawad Ahmad
Minseok Kwon,faculty,Minseok Kwon
Mohan Kumar,faculty,Mohan Kumar
Hanif Rahbari,faculty,Hanif Rahbari
Billy Brumley,faculty,Billy Brumley
Qi Yu,faculty,Qi Yu
Nirmala Shenoy,faculty,Nirmala Shenoy
Nick LaLone,faculty,Nick LaLone
Hidy Kong,faculty,Hidy Kong
Hwan Shim,faculty,Hwan Shim
Jake Adams,faculty,Jake Adams
W Michelle Harris,faculty,W Michelle Harris
Ifeoluwatayo Ige,faculty,Ifeoluwatayo Ige
Jeremy Brown,faculty,Jeremy Brown
Sara Cornell,faculty,Sara Cornell
Lynn Wildman,faculty,Lynn Wildman
Justin Pelletier,faculty,Justin Pelletier
Hillary Im,faculty,Hillary Im
Mellissa Woodhams,faculty,Mellissa Woodhams
Sumita Mishra,faculty,Sumita Mishra
Arthur Azevedo de Amorim,faculty,Arthur Azevedo de Amorim
Yidan Hu,faculty,Yidan Hu
Matthew Fluet,faculty,Matthew Fluet
Varsha Dani,faculty,Varsha Dani
Catherine Beaton,faculty,Catherine Beaton
Erik Golen,faculty,Erik Golen
Elissa Weeden,faculty,Elissa Weeden
Chris Bondy,faculty,Chris Bondy
Stephen Cady,faculty,Stephen Cady
Lauren McQueen,faculty,Lauren McQueen
Denise Stade,faculty,Denise Stade
Bruce Herring,faculty,Bruce Herring
John-Paul Takats,faculty,John-Paul Takats
Hallie Littlefield-Topham,faculty,Hallie Littlefield-Topham
Shameelah Thomas,faculty,Shameelah Thomas
Ryan Vogt,faculty,Ryan Vogt
Sophia Sandhu,faculty,Sophia Sandhu
Kal Rabb,faculty,Kal Rabb
Dean Ganskop,faculty,Dean Ganskop
Rob Olson,faculty,Rob Olson
Jonathan Weissman,faculty,Jonathan Weissman
Gahyun Park,faculty,Gahyun Park
Sten McKinzie,faculty,Sten McKinzie
Travis Stodter,faculty,Travis Stodter
Austin Willoughby,faculty,Austin Willoughby
Tamas Wiandt,faculty,Tamas Wiandt
Mihail Barbosu,faculty,Mihail Barbosu
Scott Johnson,faculty,Scott Johnson
Daryl Johnson,faculty,Daryl Johnson
Robert Kostin,faculty,Robert Kostin
Ruth Denolo,faculty,Ruth Denolo
Siyuan Wang,faculty,Siyuan Wang
Amlan Ganguly,faculty,Amlan Ganguly
Ernest Fokoué,faculty,Ernest Fokoué
Andres Kwasinski,faculty,Andres Kwasinski
Christopher Homan,faculty,Christopher Homan
James A. Ferwerda,faculty,James A. Ferwerda
Jessica Ancillotti,faculty,Jessica Ancillotti
Abeer Ahmad,faculty,Abeer Ahmad
Tony Audi,faculty,Tony Audi
Qiuxiao Chen,faculty,Qiuxiao Chen
Warren Carithers,faculty,Warren Carithers
Ting Cao,faculty,Ting Cao
Thomas Borrelli,faculty,Thomas Borrelli
Maria Jose Cepeda Garcia,faculty,Maria Jose Cepeda Garcia
Lucieann Condino Stollery,faculty,Lucieann Condino Stollery
Jason Harrison,faculty,Jason Harrison
Eduardo Coelho De Lima,faculty,Eduardo Coelho De Lima
Aaron Deever,faculty,Aaron Deever
John Sohrawardi,faculty,John Sohrawardi
Paige Drake,faculty,Paige Drake
Ravikumar Selvam,faculty,Ravikumar Selvam
Brook Merritt,faculty,Brook Merritt
James Rice,faculty,James Rice
Christopher Schwartz,faculty,Christopher Schwartz
Naresh Kshetri,faculty,Naresh Kshetri
Harris Weisman,faculty,Harris Weisman
Stanislaw Radziszowski,faculty,Stanislaw Radziszowski
Jim Habermas,faculty,Jim Habermas
Bryan French,faculty,Bryan French
Ezgi Siir Kibris,faculty,Ezgi Siir Kibris
Gabriel Diaz,faculty,Gabriel Diaz
Garret Arcoraci,faculty,Garret Arcoraci
Taylor Dixon,faculty,Taylor Dixon
Rhonda Baker,faculty,Rhonda Baker
Betty Hillman,faculty,Betty Hillman
Elizabeth Phelps,faculty,Elizabeth Phelps
Sylvia Perez-Hardy,faculty,Sylvia Perez-Hardy
Nick Snyder,faculty,Nick Snyder
Daniel McKeown,faculty,Daniel McKeown
Jeffrey Lange,faculty,Jeffrey Lange
Marie Barreto,faculty,Marie Barreto
Mohamed Wiem Mkaouer,faculty,Mohamed Wiem Mkaouer
Sandra Cirel Delaus,faculty,Sandra Cirel Delaus
Larry Kiser,faculty,Larry Kiser
Parul Patel,faculty,Parul Patel
Dmitry Lukyanov,faculty,Dmitry Lukyanov
Kenn Martinez,faculty,Kenn Martinez
Thomas Maszerowski,faculty,Thomas Maszerowski
Samuel Malachowsky,faculty,Samuel Malachowsky
Drew Saur,faculty,Drew Saur
Gene Wolfe,faculty,Gene Wolfe
William Stumbo,faculty,William Stumbo
Robert St Jacques,faculty,Robert St Jacques
Christopher Wake,faculty,Christopher Wake
Hannah Savage,faculty,Hannah Savage
Andrew Wheeland,faculty,Andrew Wheeland
Chris Cascioli,faculty,Chris Cascioli
David Sanchez,faculty,David Sanchez
Erika Mesh,faculty,Erika Mesh
David Negrin,faculty,David Negrin
Sean Boyle,faculty,Sean Boyle
Luis Bobadilla Sotelo,faculty,Luis Bobadilla Sotelo
Nicholas Buonarota,faculty,Nicholas Buonarota
Erin Cascioli,faculty,Erin Cascioli
Eric Baker,faculty,Eric Baker
Tony Jefferson,faculty,Tony Jefferson
Arthur Nunes,faculty,Arthur Nunes
Dennis Murphy,faculty,Dennis Murphy
Jansen Orfan,faculty,Jansen Orfan
Xinchao Song,faculty,Xinchao Song
Edward Huyer,faculty,Edward Huyer
Vinay Abhyankar,faculty,Vinay Abhyankar
Mishkat Bhattacharya,faculty,Mishkat Bhattacharya
Callie Babbitt,faculty,Callie Babbitt
Charles Bachmann,faculty,Charles Bachmann
Martin K. Anselm,faculty,Martin K. Anselm
Irshad Altheimer,faculty,Irshad Altheimer
Vincenzo Buonomo,faculty,Vincenzo Buonomo
Scott Brown,faculty,Scott Brown
Manuela Campanelli,faculty,Manuela Campanelli
Enid Cardinal,faculty,Enid Cardinal
Donna Burnette,faculty,Donna Burnette
Christopher Collison,faculty,Christopher Collison
Agamemnon Crassidis,faculty,Agamemnon Crassidis
Paul Craig,faculty,Paul Craig
Denis Cormier,faculty,Denis Cormier
Moumita Das,faculty,Moumita Das
Steven Day,faculty,Steven Day
Richard DeMartino,faculty,Richard DeMartino
Betsy Dell,faculty,Betsy Dell
Joshua Faber,faculty,Joshua Faber
Doreen Edwards,faculty,Doreen Edwards
Matt Dye,faculty,Matt Dye
Carlos Diaz-Acosta,faculty,Carlos Diaz-Acosta
Mark Fairchild,faculty,Mark Fairchild
Don Figer,faculty,Don Figer
Matthew Ganter,faculty,Matthew Ganter
Tom Gaborski,faculty,Tom Gaborski
Bill Garno,faculty,Bill Garno
Scott Franklin,faculty,Scott Franklin
Christina Goudreau Collison,faculty,Christina Goudreau Collison
Richard Hailstone,faculty,Richard Hailstone
Aaron Gerace,faculty,Aaron Gerace
Peter Hauser,faculty,Peter Hauser
Michael Gartley,faculty,Michael Gartley
Matthew Hoffman,faculty,Matthew Hoffman
Karl Hirschman,faculty,Karl Hirschman
Andre Hudson,faculty,Andre Hudson
Emmett Ientilucci,faculty,Emmett Ientilucci
Daniel Johnson,faculty,Daniel Johnson
Bonnie Jacob,faculty,Bonnie Jacob
Keith Jenkins,faculty,Keith Jenkins
Clyde Eirikur Hull,faculty,Clyde Eirikur Hull
Parsian Katal Mohseni,faculty,Parsian Katal Mohseni
Christopher Kanan,faculty,Christopher Kanan
Joel Kastner,faculty,Joel Kastner
Jeyhan Kartaltepe,faculty,Jeyhan Kartaltepe
Satish G. Kandlikar,faculty,Satish G. Kandlikar
John Kerekes,faculty,John Kerekes
Michael Kuhl,faculty,Michael Kuhl
Santosh Kurinec,faculty,Santosh Kurinec
Robert Kremens,faculty,Robert Kremens
Donna Lange,faculty,Donna Lange
Brian Landi,faculty,Brian Landi
Christopher Lewis,faculty,Christopher Lewis
Carlos O. Lousto,faculty,Carlos O. Lousto
Barbara Lohse,faculty,Barbara Lohse
David Long,faculty,David Long
Cristian Linte,faculty,Cristian Linte
Lishibanya Mohapatra,faculty,Lishibanya Mohapatra
Drew Maywar,faculty,Drew Maywar
Casey Miller,faculty,Casey Miller
David Messinger,faculty,David Messinger
paper_class_incremental_continual_learning_with_se,paper,Class Incremental Continual Learning with Self-Organizing Maps and Variational Autoencoders Using Synthetic Replay
concept__selforganizing_maps_som,concept,Self-Organizing Maps (SOMs)
concept__variational_autoencoders_vae,concept,Variational Autoencoders (VAEs)
paper_achieving_safe_minimum_circle_circumnavigati,paper,Achieving safe minimum circle circumnavigation around multiple targets: a dynamic compensation approach
paper_load_balancing_optimization_in_lte/lte-a_cel,paper,Load Balancing Optimization in LTE/LTE-A Cellular Networks: A Review
paper_zero-bias_anomaly_and_kondo-assisted_quasi-b,paper,Zero-bias anomaly and Kondo-assisted quasi-ballistic 2D transport
paper_ar-lsat:_investigating_analytical_reasoning_,paper,AR-LSAT: Investigating Analytical Reasoning of Text
paper_fact:_a_full-body_ad-hoc_collaboration_testb,paper,FACT: A Full-body Ad-hoc Collaboration Testbed for Modeling Complex Teamwork
paper_observation_of_fractionally_quantized_anomal,paper,Observation of Fractionally Quantized Anomalous Hall Effect
concept__fractional_quantum_anomalous_hall_effect,concept,Fractional Quantum Anomalous Hall Effect
paper_magnetic-field_asymmetry_of_nonlinear_mesosc,paper,Magnetic-field asymmetry of nonlinear mesoscopic transport
paper_gaussian_blur_and_relative_edge_response,paper,Gaussian Blur and Relative Edge Response
paper_post-hoc_probabilistic_vision-language_model,paper,Post-hoc Probabilistic Vision-Language Models
paper_rotation-invariant_completion_network,paper,Rotation-Invariant Completion Network
paper_towards_predicting_efficient_and_anonymous_t,paper,Towards Predicting Efficient and Anonymous Tor Circuits
concept__random_forest_classifier,concept,Random Forest Classifier
paper_learning_recommender_systems_with_soft_targe,paper,Learning Recommender Systems with Soft Target: A Decoupled Perspective
paper_comparing_human_and_llm_proofreading_in_l2_w,paper,Comparing human and LLM proofreading in L2 writing: Impact on lexical and syntactic features
paper_american_cultural_regions_mapped_through_the,paper,American cultural regions mapped through the lexical analysis of social media
concept__hierarchical_clustering,concept,Hierarchical Clustering
paper_cancer_diagnosis_categorization_in_electroni,paper,Cancer Diagnosis Categorization in Electronic Health Records Using Large Language Models and BioBERT: Model Performance Evaluation Study
concept__large_language_model,concept,Large Language Model
paper_raising_np_lower_bounds_to_parallel_np_lower,paper,Raising NP Lower Bounds to Parallel NP Lower Bounds
paper_galaxy_mergers_up_to_z<2.5_i_:_the_star_form,paper,Galaxy mergers up to z<2.5 I : The star formation properties of merging galaxies at separations 3-15 kpc
paper_investigating_the_effects_of_exploration_dyn,paper,Investigating the effects of exploration dynamics on stiffness perception
paper_informed_along_the_road:_roadway_capacity_dr,paper,Informed along the road: roadway capacity driven graph convolution network for network-wide traffic prediction
"paper_hadronic_""flow""_in_p--pb_collisions_at_the_l",paper,"Hadronic ""flow"" in p--Pb collisions at the Large Hadron Collider?"
paper_control_in_the_presence_of_manipulators:_coo,paper,Control in the Presence of Manipulators: Cooperative and Competitive Cases
paper_from_mooc_to_maic:_reshaping_online_teaching,paper,From MOOC to MAIC: Reshaping Online Teaching and Learning through LLM-driven Agents
concept__personalized_learning,concept,Personalized learning
paper_translating_emotions_to_annotations_--_a_par,paper,Translating Emotions to Annotations -- A Participant Perspective of Physiological Emotion Data Collection
paper_ssr:_a_stall_scheme_reducing_bubbles_in_load,paper,SSR: A Stall Scheme Reducing Bubbles in Load-Use Hazard of RISC-V Pipeline
paper_optical_solitons_in_media_with_focusing_and_,paper,Optical solitons in media with focusing and defocusing saturable nonlinearity and a parity-time-symmetric external potential
paper_isomorphic_implication,paper,Isomorphic Implication
paper_creating_seamless_3d_maps_using_radiance_fie,paper,Creating Seamless 3D Maps Using Radiance Fields
concept__gaussian_splatting,concept,Gaussian Splatting
paper_correspondence_of_$f(r)$_gravity_singulariti,paper,Correspondence of $F(R)$ Gravity Singularities in Jordan and Einstein Frames
concept__conformal_transformation,concept,Conformal Transformation
paper_pre-trained_image_encoder_for_generalizable_,paper,Pre-Trained Image Encoder for Generalizable Visual Reinforcement Learning
concept__batch_normalization,concept,Batch Normalization
paper_mouse_dynamics_behavioral_biometrics:_a_surv,paper,Mouse Dynamics Behavioral Biometrics: A Survey
paper_hierarchical_inference_with_bayesian_neural_,paper,Hierarchical Inference With Bayesian Neural Networks: An Application to Strong Gravitational Lensing
paper_improving_the_efficiency_of_llm_agent_system,paper,Improving the Efficiency of LLM Agent Systems through Trajectory Reduction
paper_on_pitts'_relational_properties_of_domains,paper,On Pitts' Relational Properties of Domains
paper_chain_of_log-concave_markov_chains,paper,Chain of Log-Concave Markov Chains
paper_learning_for_edge-weighted_online_bipartite_,paper,Learning for Edge-Weighted Online Bipartite Matching with Robustness Guarantees
paper_binary_optimal_control_of_single-flux-quantu,paper,Binary Optimal Control Of Single-Flux-Quantum Pulse Sequences
paper_paleomagnetic_evidence_for_a_disk_substructu,paper,Paleomagnetic evidence for a disk substructure in the early solar system
paper_guided_focal_stack_refinement_network_for_li,paper,Guided Focal Stack Refinement Network for Light Field Salient Object Detection
paper_potential_function_in_a_continuous_dissipati,paper,Potential Function in a Continuous Dissipative Chaotic System: Decomposition Scheme and Role of Strange Attractor
concept__potential_function,concept,Potential Function
"paper_security,_privacy_and_ethical_concerns_of_io",paper,"Security, Privacy and Ethical Concerns of IoT Implementations in Hospitality Domain"
paper_mgs3:_a_multi-granularity_self-supervised_co,paper,MGS3: A Multi-Granularity Self-Supervised Code Search Framework
paper_a_policy-based_approach_to_the_specaugment_m,paper,A Policy-based Approach to the SpecAugment Method for Low Resource E2E ASR
concept__data_augmentation,concept,Data Augmentation
paper_rotational_cavity_optomechanics,paper,Rotational cavity optomechanics
concept__optomechanic,concept,Optomechanics
concept__laguerregaussian_mode,concept,Laguerre-Gaussian Modes
concept__homodyne_detection,concept,Homodyne Detection
"paper_current_trends_in_digital_twin_development,_",paper,"Current Trends in Digital Twin Development, Maintenance, and Operation: An Interview Study"
concept__digital_twin,concept,Digital Twin
paper_revisiting_near/remote_sensing_with_geospati,paper,Revisiting Near/Remote Sensing with Geospatial Attention
paper_an_eye_gaze_heatmap_analysis_of_uncertainty_,paper,An Eye Gaze Heatmap Analysis of Uncertainty Head-Up Display Designs for Conditional Automated Driving
concept__eyetracking,concept,Eye-tracking
paper_the_ambivalent_competition_of_coulomb_and_va,paper,The ambivalent competition of Coulomb and van-der-Waals interactions in Xe-Cs+ aggregates on Cu(111) surfaces
concept__scanning_tunneling_microscopy,concept,Scanning tunneling microscopy
concept__coulomb_interaction,concept,Coulomb interaction
paper_a_promotion_for_odd_symmetric_discrete_fouri,paper,A promotion for odd symmetric discrete Fourier transform
paper_thermoelectric_effects_in_graphene_with_loca,paper,Thermoelectric effects in graphene with local spin-orbit interaction
concept__scattering_approach,concept,Scattering Approach
paper_world_in_your_hands:_a_large-scale_and_open-,paper,World In Your Hands: A Large-Scale and Open-source Ecosystem for Learning Human-centric Manipulation in the Wild
paper_a_dynamic_equivalent_energy_storage_model_of,paper,A Dynamic Equivalent Energy Storage Model of Natural Gas Networks for Joint Optimal Dispatch of Electricity-Gas Systems
paper_status_of_ninja:_the_numerical_injection_ana,paper,Status of NINJA: the Numerical INJection Analysis project
paper_elements_of_trust_in_named-data_networking,paper,Elements of Trust in Named-Data Networking
paper_traffic_adaptive_moving-window_service_patro,paper,Traffic Adaptive Moving-window Service Patrolling for Real-time Incident Management during High-impact Events
concept__dynamic_programming,concept,Dynamic Programming
paper_an_electromagnetic_physics_constructor_for_l,paper,An electromagnetic physics constructor for low energy polarised X-/gamma ray transport in Geant4
paper_sub-wavelength_surface_ir_imaging_of_soft-co,paper,Sub-wavelength surface IR imaging of soft-condensed matter
paper_ola-raw:_scalable_exploration_over_raw_data,paper,OLA-RAW: Scalable Exploration over Raw Data
paper_human_comfortability_index_estimation_in_ind,paper,Human Comfortability Index Estimation in Industrial Human-Robot Collaboration Task
paper_cfns_ad-hoc_meeting_on_radiative_corrections,paper,CFNS Ad-Hoc meeting on Radiative Corrections Whitepaper
concept__monte_carlo_simulation,concept,Monte Carlo Simulations
concept__radiative_correction,concept,Radiative Corrections
paper_defusion:_an_effective_decoupling_fusion_net,paper,DeFusion: An Effective Decoupling Fusion Network for Multi-Modal Pregnancy Prediction
paper_optimized_ancillary_drive_for_fast_rydberg_e,paper,Optimized ancillary drive for fast Rydberg entangling gates
paper_dlau:_a_scalable_deep_learning_accelerator_u,paper,DLAU: A Scalable Deep Learning Accelerator Unit on FPGA
paper_origin_of_indirect_optical_transitions_in_fe,paper,"Origin of indirect optical transitions in few-layer MoS2, WS2 and WSe2"
concept__density_functional_theory_dft,concept,Density Functional Theory (DFT)
paper_chestybot:_detecting_and_disrupting_chinese_,paper,ChestyBot: Detecting and Disrupting Chinese Communist Party Influence Stratagems
paper_self-organizing_teams_in_online_work_setting,paper,Self-Organizing Teams in Online Work Settings
paper_automatic_vector-based_road_structure_mappin,paper,Automatic Vector-based Road Structure Mapping Using Multi-beam LiDAR
paper_analysis_of_the_cherenkov_telescope_array_fi,paper,Analysis of the Cherenkov Telescope Array first Large-Sized Telescope real data using convolutional neural networks
paper_improved_self-cleaning_properties_of_an_effi,paper,Improved Self-cleaning Properties of an Efficient and Easy to Scale up TiO2 Thin Films Prepared by Adsorptive Self-Assembly
paper_large_language_models_for_json_schema_discov,paper,Large Language Models for JSON Schema Discovery
paper_joint_modeling_of_quasar_variability_and_acc,paper,Joint Modeling of Quasar Variability and Accretion Disk Reprocessing using Latent Stochastic Differential Equations
paper_topv:_compatible_token_pruning_with_inferenc,paper,TopV: Compatible Token Pruning with Inference Time Optimization for Fast and Low-Memory Multimodal Vision Language Model
concept__token_pruning,concept,Token Pruning
paper_evaluating_llm-based_0-to-1_software_generat,paper,Evaluating LLM-Based 0-to-1 Software Generation in End-to-End CLI Tool Scenarios
paper_gate-tunable_phonon_magnetic_moment_in_bilay,paper,Gate-tunable phonon magnetic moment in bilayer graphene
concept__phonon_magnetic_moment,concept,Phonon Magnetic Moment
paper_bitnet.cpp:_efficient_edge_inference_for_ter,paper,Bitnet.cpp: Efficient Edge Inference for Ternary LLMs
paper_spin-polarized_current_oscillations_in_dilut,paper,Spin-polarized current oscillations in diluted magnetic semiconductor multiple quantum wells
paper_ontology-driven_knowledge_graph_for_android_,paper,Ontology-driven Knowledge Graph for Android Malware
paper_a_simple_and_efficient_reconstruction_backbo,paper,A Simple and Efficient Reconstruction Backbone for Snapshot Compressive Imaging
paper_manipulation_of_a_micro-object_using_topolog,paper,Manipulation of a Micro-object Using Topological Hydrodynamic Tweezers
paper_rit-eyes:_rendering_of_near-eye_images_for_e,paper,RIT-Eyes: Rendering of near-eye images for eye-tracking applications
paper_high-quality_strong_lens_candidates_in_the_f,paper,High-quality strong lens candidates in the final Kilo Degree survey footprint
concept__convolutional_neural_network,concept,Convolutional Neural Network
concept__strong_gravitational_lensing,concept,Strong Gravitational Lensing
paper_flow_decomposition_reveals_dynamical_structu,paper,Flow Decomposition Reveals Dynamical Structure of Markov Process
paper_leveraging_familiarity_with_television_to_en,paper,Leveraging Familiarity with Television to Enrich Older Adults' Engagement and Wellbeing: A Feasibility Study Using Video Probes
paper_nonlinear_spin-thermoelectric_transport_in_t,paper,Nonlinear spin-thermoelectric transport in two-dimensional topological insulators
concept__spinpolarized_transport,concept,Spin-Polarized Transport
paper_training-free_large_model_priors_for_multipl,paper,Training-Free Large Model Priors for Multiple-in-One Image Restoration
paper_quotients_of_probabilistic_boolean_networks,paper,Quotients of probabilistic Boolean networks
paper_feature_importance_in_a_deep_learning_climat,paper,Feature Importance in a Deep Learning Climate Emulator
concept__deeplift,concept,DeepLIFT
paper_semiparametric_inference_for_inequality_meas,paper,Semiparametric inference for inequality measures under nonignorable nonresponse using callback data
paper_first-principle_calculations_of_plasmon_exci,paper,"First-principle calculations of plasmon excitations in graphene,silicene and germanene"
concept__graphene,concept,Graphene
paper_robust_double_bragg_diffraction_via_detuning,paper,Robust double Bragg diffraction via detuning control
concept__double_bragg_diffraction_dbd,concept,Double Bragg diffraction (DBD)
"paper_q-aqua:_a_many-body_ccsd(t)_water_potential,",paper,"q-AQUA: a many-body CCSD(T) water potential, including 4-body interactions, demonstrates the quantum nature of water from clusters to the liquid phase"
paper_kgif:_optimizing_relation-aware_recommendati,paper,KGIF: Optimizing Relation-Aware Recommendations with Knowledge Graph Information Fusion
concept__selfattention_mechanism,concept,Self-Attention Mechanism
paper_preventing_discriminatory_decision-making_in,paper,Preventing Discriminatory Decision-making in Evolving Data Streams
paper_intercell_moiré_exciton_complexes_in_electro,paper,Intercell Moiré Exciton Complexes in Electron Lattices
paper_fairplai:_a_human-in-the-loop_approach_to_fa,paper,FAIRPLAI: A Human-in-the-Loop Approach to Fair and Private Machine Learning
concept__differential_privacy,concept,Differential Privacy
paper_using_grammar_patterns_to_interpret_test_met,paper,Using Grammar Patterns to Interpret Test Method Name Evolution
concept__grammar_pattern,concept,Grammar Patterns
paper_unsupervised_multi-modal_medical_image_regis,paper,Unsupervised Multi-Modal Medical Image Registration via Discriminator-Free Image-to-Image Translation
paper_continual_learning_of_recurrent_neural_netwo,paper,Continual Learning of Recurrent Neural Networks by Locally Aligning Distributed Representations
paper_fast_rigid_3d_registration_solution:_a_simpl,paper,Fast Rigid 3D Registration Solution: A Simple Method Free of SVD and Eigen-Decomposition
paper_lacon:_late-constraint_diffusion_for_steerab,paper,LaCon: Late-Constraint Diffusion for Steerable Guided Image Synthesis
paper_object-aware_centroid_voting_for_monocular_3,paper,Object-Aware Centroid Voting for Monocular 3D Object Detection
paper_symmetry-breaking_bifurcations_and_ghost_sta,paper,Symmetry-breaking bifurcations and ghost states in the fractional nonlinear Schrödinger equation with a PT-symmetric potential
concept__fractional_nonlinear_schrdinger_equation,concept,Fractional Nonlinear Schrödinger Equation
paper_the_discovery_and_mass_measurement_of_a_new_,paper,The discovery and mass measurement of a new ultra-short-period planet: EPIC~228732031b
concept__gaussian_process_regression,concept,Gaussian Process Regression
paper_interleaved_latent_visual_reasoning_with_sel,paper,Interleaved Latent Visual Reasoning with Selective Perceptual Modeling
paper_an_empirical_exploration_of_deep_recurrent_c,paper,An Empirical Exploration of Deep Recurrent Connections and Memory Cells Using Neuro-Evolution
concept__examm,concept,EXAMM
paper_complexity_of_manipulative_actions_when_voti,paper,Complexity of Manipulative Actions When Voting with Ties
